,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
win,957,907,1017,921,916,892,917,908,923,893,877,932,910,865,924,885,913,939,911,946,946,937,906,908,916,949,901,885,882,879,849,890,913,941,917,932
loss,4527,4577,4467,4563,4568,4592,4567,4576,4561,4591,4607,4552,4574,4619,4560,4599,4571,4545,4573,4538,4538,4547,4578,4576,4568,4535,4583,4599,4602,4605,4635,4594,4571,4543,4567,4552
