,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
win,142,175,131,157,149,165,149,142,159,141,147,151,137,143,149,148,157,160,149,147,138,185,156,167,152,160,174,132,158,147,147,144,158,168,148,152
loss,5342,5309,5353,5327,5335,5319,5335,5342,5325,5343,5337,5333,5347,5341,5335,5336,5327,5324,5335,5337,5346,5299,5328,5317,5332,5324,5310,5352,5326,5337,5337,5340,5326,5316,5336,5332
